name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Eberechi Eze,MID,Crystal Palace,3.5,1,0,29,0,52.0,489,107,1,0,9.4,33.2,2020-12-06T12:00:00Z,90,18,0,0,0,0,11,0,53674,5,1,9.0,5,-555,8973,9528,58,False,0,11
Filip Krovinovic,MID,West Brom,0.5,0,0,6,0,1.5,555,107,4,0,0.7,0.2,2020-12-06T12:00:00Z,45,6,0,0,0,0,11,0,971,5,1,5.0,1,-96,69,165,50,True,0,11
Christian Pulisic,MID,Chelsea,3.5,0,0,24,1,2.9,119,102,0,1,12.8,40.4,2020-12-05T20:00:00Z,60,10,0,0,0,0,11,0,129992,1,3,85.0,8,1416,4682,3266,82,True,0,11
André Filipe Tavares Gomes,MID,Everton,1.8,0,0,6,1,14.8,158,101,0,0,1.8,1.4,2020-12-05T12:30:00Z,61,4,0,0,0,0,11,0,19020,1,1,2.0,3,-673,274,947,54,False,0,11
João Filipe Iria Santos Moutinho,MID,Wolves,0.7,0,0,8,0,13.8,454,103,4,0,2.0,6.0,2020-12-06T19:15:00Z,90,11,0,0,0,0,11,0,89374,0,4,0.0,1,-4456,976,5432,52,False,1,11
Anthony Knockaert,MID,Fulham,0.0,0,0,0,0,0.0,177,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,12,0,0,0,0,11,0,2813,0,2,0.0,0,-114,6,120,51,False,0,11
Kevin McDonald,MID,Fulham,0.0,0,0,0,0,0.0,172,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,12,0,0,0,0,11,0,1866,0,2,0.0,0,-76,15,91,47,False,0,11
Leander Dendoncker,MID,Wolves,2.0,0,0,2,0,1.8,464,103,4,0,6.0,12.2,2020-12-06T19:15:00Z,90,11,0,0,0,0,11,0,71963,0,4,46.0,2,-987,4237,5224,48,False,0,11
Alireza Jahanbakhsh,MID,Brighton,0.7,0,0,5,0,0.7,71,100,0,0,0.6,1.0,2020-12-07T20:00:00Z,9,16,0,0,0,0,11,0,2671,2,1,4.0,1,-6,73,79,54,True,0,11
Josh Brownhill,MID,Burnley,0.9,0,0,14,0,6.3,98,101,1,0,4.2,14.2,2020-12-05T12:30:00Z,90,7,0,0,0,0,11,0,3166,1,1,21.0,2,-475,60,535,50,True,0,11
Matty James,MID,Leicester,0.0,0,0,0,0,0.0,222,105,0,0,0.0,0.0,2020-12-06T14:15:00Z,0,15,0,0,0,0,11,0,26725,2,1,0.0,0,-1653,433,2086,43,False,0,11
Romaine Sawyers,MID,West Brom,1.5,0,0,8,0,3.5,413,107,4,0,1.1,5.4,2020-12-06T12:00:00Z,79,6,0,0,0,0,11,0,2566,5,1,2.0,1,-48,174,222,48,True,1,11
José Izquierdo,MID,Brighton,0.0,0,0,0,0,0.0,72,100,0,0,0.0,0.0,2020-12-07T20:00:00Z,0,16,0,0,0,0,11,0,177,2,1,0.0,0,-15,16,31,55,True,0,11
Harvey Barnes,MID,Leicester,3.2,0,0,0,0,0.0,235,105,0,0,0.0,0.0,2020-12-06T14:15:00Z,0,15,0,0,0,0,11,0,317335,2,1,0.0,0,-907,28082,28989,69,False,0,11
Daniel Ceballos Fernández,MID,Arsenal,2.0,0,0,11,0,5.3,501,106,0,0,1.3,7.2,2020-12-06T16:30:00Z,45,17,0,0,0,0,11,0,85145,0,2,0.0,1,-5330,1961,7291,48,False,0,11
